,5,6,1,4,7,8,0,2,10,9,12,3,11,13
0,categorical__OnlineBackup_No,categorical__PhoneService_Yes,categorical__TechSupport_No,categorical__OnlineSecurity_No,categorical__DeviceProtection_No,categorical__gender_Female,categorical__Dependents_No,categorical__MultipleLines_Yes,categorical__Partner_No,categorical__StreamingTV_Yes,categorical__StreamingMovies_Yes,categorical__PaperlessBilling_Yes,categorical__Contract_Month-to-month,categorical__InternetService_Fiber optic
1,82,81,78,78,78,41,27,24,16,7,6,5,1,1
