metric,best_k,best_f1,avg_classifiers_kept
query_weighted_precision,37,0.8941605839416058,37.0
log_odds_ratio,117,0.8931860036832413,117.0
lift,117,0.8911439114391144,117.0
matthews_correlation,89,0.878438331854481,89.0
query_weighted_wracc,117,0.8675555555555555,117.0
wracc,124,0.8660714285714286,124.0
balanced_precision_proxy,124,0.8650580875781948,124.0
youdens_j,124,0.8650580875781948,124.0
information_gain,3,0.7392996108949417,3.0
g_test,3,0.7392996108949417,3.0
gini_gain,3,0.7355212355212355,3.0
chi_squared,3,0.7355212355212355,3.0
delta_stability,164,0.6404833836858006,164.0
stability,7,0.40569395017793597,7.0
