metric_name,pos_threshold,neg_threshold,num_pos_classifiers_passing,num_neg_classifiers_passing,avg_positive_classifications,avg_negative_classifications,Accuracy,Precision,Recall,AUC-ROC,F1-score,True Positive,True Negative,False Positive,False Negative,True Negative Rate (Specificity),Negative Predictive Value,False Positive Rate,False Discovery Rate
lift,1.168711656441718,1.100407747196738,398331,472540,1045.4881889763778,1240.262467191601,0.9212598425196851,0.965034965034965,0.8466257668711656,0.9813136714132944,0.9019607843137255,138,213,5,25,0.9770642201834863,0.8949579831932774,0.022935779816513763,0.03496503496503497
lift,1.168711656441718,1.172329822176917,398331,449189,1045.4881889763778,1178.97375328084,0.937007874015748,0.9371069182389937,0.9141104294478528,0.9812573872910452,0.9254658385093167,149,208,10,14,0.9541284403669725,0.9369369369369369,0.045871559633027525,0.06289308176100629
lift,1.168711656441718,1.244251897157096,398331,432708,1045.4881889763778,1135.716535433071,0.9343832020997376,0.9259259259259259,0.9202453987730062,0.981398097596668,0.9230769230769231,150,206,12,13,0.944954128440367,0.9406392694063926,0.05504587155963303,0.07407407407407407
lift,1.168711656441718,1.3161739721372747,398331,408609,1045.4881889763778,1072.4645669291338,0.9212598425196851,0.884393063583815,0.9386503067484663,0.9813980975966681,0.9107142857142857,153,198,20,10,0.908256880733945,0.9519230769230769,0.09174311926605505,0.11560693641618497
lift,1.168711656441718,1.3880960471174537,398331,389942,1045.4881889763778,1023.4698162729659,0.916010498687664,0.8659217877094972,0.950920245398773,0.9815528789328531,0.9064327485380117,155,194,24,8,0.8899082568807339,0.9603960396039604,0.11009174311926606,0.1340782122905028
lift,1.168711656441718,1.4600181220976327,398331,363417,1045.4881889763778,953.8503937007874,0.89501312335958,0.8186528497409327,0.9693251533742331,0.9818202285135363,0.8876404494382022,158,183,35,5,0.8394495412844036,0.973404255319149,0.16055045871559634,0.18134715025906736
lift,1.168711656441718,1.5319401970778115,398331,337567,1045.4881889763778,886.002624671916,0.8766404199475065,0.7815533980582524,0.9877300613496932,0.9816232340856644,0.8726287262872628,161,173,45,2,0.7935779816513762,0.9885714285714285,0.20642201834862386,0.21844660194174756
lift,1.168711656441718,1.6038622720579905,398331,307612,1045.4881889763778,807.3805774278215,0.863517060367454,0.7605633802816901,0.9938650306748467,0.9819327967580346,0.8617021276595744,162,167,51,1,0.7660550458715596,0.9940476190476191,0.23394495412844038,0.23943661971830985
lift,1.168711656441718,1.6757843470381695,398331,270170,1045.4881889763778,709.1076115485564,0.8372703412073491,0.726457399103139,0.9938650306748467,0.980187988968312,0.8393782383419689,162,157,61,1,0.7201834862385321,0.9936708860759493,0.2798165137614679,0.273542600896861
lift,1.168711656441718,1.7477064220183485,398331,228460,1045.4881889763778,599.6325459317585,0.7926509186351706,0.6735537190082644,1.0,0.9787105307592727,0.8049382716049382,163,139,79,0,0.6376146788990825,1.0,0.3623853211009174,0.32644628099173556
lift,1.2985685071574644,1.100407747196738,370320,472540,971.9685039370079,1240.262467191601,0.9133858267716536,0.9642857142857143,0.8282208588957055,0.9817076602690381,0.8910891089108911,135,213,5,28,0.9770642201834863,0.8838174273858921,0.022935779816513763,0.03571428571428571
lift,1.2985685071574644,1.172329822176917,370320,449189,971.9685039370079,1178.97375328084,0.9291338582677166,0.9358974358974359,0.8957055214723927,0.9816232340856644,0.9153605015673981,146,208,10,17,0.9541284403669725,0.9244444444444444,0.045871559633027525,0.0641025641025641
lift,1.2985685071574644,1.244251897157096,370320,432708,971.9685039370079,1135.716535433071,0.9291338582677166,0.925,0.9079754601226994,0.9819327967580345,0.9164086687306502,148,206,12,15,0.944954128440367,0.9321266968325792,0.05504587155963303,0.075
lift,1.2985685071574644,1.3161739721372747,370320,408609,971.9685039370079,1072.4645669291338,0.926509186351706,0.8994082840236687,0.9325153374233128,0.9820172229414083,0.9156626506024096,152,201,17,11,0.9220183486238532,0.9481132075471698,0.0779816513761468,0.10059171597633136
lift,1.2985685071574644,1.3880960471174537,370320,389942,971.9685039370079,1023.4698162729659,0.916010498687664,0.8700564971751412,0.9447852760736196,0.9819609388191592,0.9058823529411765,154,195,23,9,0.8944954128440367,0.9558823529411765,0.10550458715596331,0.12994350282485875
lift,1.2985685071574644,1.4600181220976327,370320,363417,971.9685039370079,953.8503937007874,0.916010498687664,0.8579234972677595,0.9631901840490797,0.9818765126357853,0.9075144508670521,157,192,26,6,0.8807339449541285,0.9696969696969697,0.11926605504587157,0.14207650273224043
lift,1.2985685071574644,1.5319401970778115,370320,337567,971.9685039370079,886.002624671916,0.905511811023622,0.8324607329842932,0.9754601226993865,0.9817639443912873,0.8983050847457628,159,186,32,4,0.8532110091743119,0.9789473684210527,0.14678899082568808,0.16753926701570682
lift,1.2985685071574644,1.6038622720579905,370320,307612,971.9685039370079,807.3805774278215,0.8818897637795275,0.7892156862745098,0.9877300613496932,0.9819890808802836,0.8773841961852861,161,175,43,2,0.8027522935779816,0.9887005649717514,0.19724770642201836,0.2107843137254902
lift,1.2985685071574644,1.6757843470381695,370320,270170,971.9685039370079,709.1076115485564,0.8582677165354331,0.755868544600939,0.9877300613496932,0.9801035627849384,0.8563829787234043,161,166,52,2,0.7614678899082569,0.9880952380952381,0.23853211009174313,0.24413145539906103
lift,1.2985685071574644,1.7477064220183485,370320,228460,971.9685039370079,599.6325459317585,0.8320209973753281,0.72,0.9938650306748467,0.9788653120954578,0.8350515463917526,162,155,63,1,0.7110091743119266,0.9935897435897436,0.2889908256880734,0.28
lift,1.428425357873211,1.100407747196738,351549,472540,922.7007874015748,1240.262467191601,0.916010498687664,0.9712230215827338,0.8282208588957055,0.9816795182079135,0.8940397350993378,135,214,4,28,0.981651376146789,0.8842975206611571,0.01834862385321101,0.02877697841726619
lift,1.428425357873211,1.172329822176917,351549,449189,922.7007874015748,1178.97375328084,0.9212598425196851,0.9463087248322147,0.8650306748466258,0.9816232340856645,0.9038461538461539,141,210,8,22,0.963302752293578,0.9051724137931034,0.03669724770642202,0.053691275167785234
lift,1.428425357873211,1.244251897157096,351549,432708,922.7007874015748,1135.716535433071,0.9343832020997376,0.9367088607594937,0.9079754601226994,0.9818202285135365,0.9221183800623053,148,208,10,15,0.9541284403669725,0.9327354260089686,0.045871559633027525,0.06329113924050633
lift,1.428425357873211,1.3161739721372747,351549,408609,922.7007874015748,1072.4645669291338,0.931758530183727,0.9151515151515152,0.9263803680981595,0.9818765126357853,0.9207317073170732,151,204,14,12,0.9357798165137615,0.9444444444444444,0.06422018348623854,0.08484848484848485
lift,1.428425357873211,1.3880960471174537,351549,389942,922.7007874015748,1023.4698162729659,0.9212598425196851,0.8888888888888888,0.9325153374233128,0.9815669499634152,0.9101796407185628,152,199,19,11,0.9128440366972477,0.9476190476190476,0.0871559633027523,0.1111111111111111
lift,1.428425357873211,1.4600181220976327,351549,363417,922.7007874015748,953.8503937007874,0.916010498687664,0.8579234972677595,0.9631901840490797,0.9816232340856644,0.9075144508670521,157,192,26,6,0.8807339449541285,0.9696969696969697,0.11926605504587157,0.14207650273224043
lift,1.428425357873211,1.5319401970778115,351549,337567,922.7007874015748,886.002624671916,0.905511811023622,0.839572192513369,0.9631901840490797,0.9814825237800416,0.8971428571428571,157,188,30,6,0.8623853211009175,0.9690721649484536,0.13761467889908258,0.16042780748663102
lift,1.428425357873211,1.6038622720579905,351549,307612,922.7007874015748,807.3805774278215,0.89501312335958,0.8090452261306532,0.9877300613496932,0.9820453650025327,0.8895027624309392,161,180,38,2,0.8256880733944955,0.989010989010989,0.1743119266055046,0.19095477386934673
lift,1.428425357873211,1.6757843470381695,351549,270170,922.7007874015748,709.1076115485564,0.8740157480314961,0.7777777777777778,0.9877300613496932,0.9800754207238138,0.8702702702702703,161,172,46,2,0.7889908256880734,0.9885057471264368,0.21100917431192662,0.2222222222222222
lift,1.428425357873211,1.7477064220183485,351549,228460,922.7007874015748,599.6325459317585,0.84251968503937,0.7351598173515982,0.9877300613496932,0.9788090279732088,0.8429319371727748,161,160,58,2,0.7339449541284404,0.9876543209876543,0.26605504587155965,0.2648401826484018
lift,1.5582822085889572,1.100407747196738,328360,472540,861.8372703412074,1240.262467191601,0.9081364829396326,0.9705882352941176,0.8098159509202454,0.9819327967580346,0.882943143812709,132,214,4,31,0.981651376146789,0.8734693877551021,0.01834862385321101,0.029411764705882353
lift,1.5582822085889572,1.172329822176917,328360,449189,861.8372703412074,1178.97375328084,0.9186351706036745,0.9583333333333334,0.8466257668711656,0.981848370574661,0.8990228013029316,138,212,6,25,0.9724770642201835,0.8945147679324894,0.027522935779816515,0.041666666666666664
lift,1.5582822085889572,1.244251897157096,328360,432708,861.8372703412074,1135.716535433071,0.926509186351706,0.9354838709677419,0.8895705521472392,0.9819890808802837,0.9119496855345912,145,208,10,18,0.9541284403669725,0.9203539823008849,0.045871559633027525,0.06451612903225806
lift,1.5582822085889572,1.3161739721372747,328360,408609,861.8372703412074,1072.4645669291338,0.9291338582677166,0.925,0.9079754601226994,0.9818765126357853,0.9164086687306502,148,206,12,15,0.944954128440367,0.9321266968325792,0.05504587155963303,0.075
lift,1.5582822085889572,1.3880960471174537,328360,389942,861.8372703412074,1023.4698162729659,0.926509186351706,0.9090909090909091,0.9202453987730062,0.9818483705746609,0.9146341463414634,150,203,15,13,0.9311926605504587,0.9398148148148148,0.06880733944954129,0.09090909090909091
lift,1.5582822085889572,1.4600181220976327,328360,363417,861.8372703412074,953.8503937007874,0.916010498687664,0.8700564971751412,0.9447852760736196,0.9818202285135363,0.9058823529411765,154,195,23,9,0.8944954128440367,0.9558823529411765,0.10550458715596331,0.12994350282485875
lift,1.5582822085889572,1.5319401970778115,328360,337567,861.8372703412074,886.002624671916,0.910761154855643,0.8486486486486486,0.9631901840490797,0.9815950920245399,0.9022988505747126,157,190,28,6,0.8715596330275229,0.9693877551020408,0.12844036697247707,0.15135135135135136
lift,1.5582822085889572,1.6038622720579905,328360,307612,861.8372703412074,807.3805774278215,0.905511811023622,0.8324607329842932,0.9754601226993865,0.9820453650025329,0.8983050847457628,159,186,32,4,0.8532110091743119,0.9789473684210527,0.14678899082568808,0.16753926701570682
lift,1.5582822085889572,1.6757843470381695,328360,270170,861.8372703412074,709.1076115485564,0.884514435695538,0.7931034482758621,0.9877300613496932,0.9799065683570665,0.8797814207650273,161,176,42,2,0.8073394495412844,0.9887640449438202,0.1926605504587156,0.20689655172413793
lift,1.5582822085889572,1.7477064220183485,328360,228460,861.8372703412074,599.6325459317585,0.8608923884514436,0.7594339622641509,0.9877300613496932,0.9789497382788316,0.8586666666666667,161,167,51,2,0.7660550458715596,0.9881656804733728,0.23394495412844038,0.24056603773584906
