metric,best_k,best_f1,avg_classifiers_kept
query_weighted_precision_log_tp,2,0.926829268292683,2.0
query_similarity,2,0.926829268292683,2.0
query_weighted_precision,2,0.926829268292683,2.0
simplicity_prior,2,0.926829268292683,2.0
interval_tightness,2,0.926829268292683,2.0
query_weighted_precision_sqrt_tp,2,0.926829268292683,2.0
description_volume,26,0.851063829787234,26.0
log_odds_ratio,166,0.6875,166.0
precision_log_tp,166,0.6875,166.0
precision,166,0.6875,166.0
balanced_precision_proxy,166,0.6875,166.0
precision_sqrt_tp,166,0.6875,166.0
log_odds_ratio_log_tp,166,0.6875,166.0
