metric,best_k,best_f1,avg_classifiers_kept
matthews_correlation,1974,0.6367521367521367,1825.9446022727273
gini_gain,1974,0.6367521367521367,1825.9446022727273
chi_squared,1974,0.6367521367521367,1825.9446022727273
query_weighted_wracc,2092,0.6353944562899787,1887.9019886363637
wracc,2092,0.6351931330472103,1887.9019886363637
balanced_precision_proxy,2092,0.6351931330472103,1887.9019886363637
youdens_j,2092,0.6351931330472103,1887.9019886363637
information_gain,1749,0.6326963906581741,1685.984375
g_test,1749,0.6326963906581741,1685.984375
lift,2597,0.632258064516129,2068.575284090909
delta_stability,2732,0.630901287553648,2100.740056818182
log_odds_ratio,4099,0.6306695464362851,2209.6448863636365
query_weighted_precision,4099,0.6306695464362851,2209.6448863636365
stability,4099,0.6306695464362851,2209.6448863636365
