metric,best_k,best_f1,avg_classifiers_kept
lift,844,0.9000916590284143,844.0
query_weighted_precision,81,0.8982584784601283,81.0
log_odds_ratio,736,0.8968036529680365,736.0
information_gain,960,0.851063829787234,960.0
g_test,960,0.851063829787234,960.0
gini_gain,8636,0.8355704697986577,8636.0
chi_squared,8636,0.8355704697986577,8636.0
matthews_correlation,2,0.8257638315441783,2.0
query_weighted_wracc,2,0.8210180623973727,2.0
wracc,2,0.8203445447087777,2.0
balanced_precision_proxy,2,0.8203445447087777,2.0
youdens_j,2,0.8203445447087777,2.0
stability,8930,0.6802999318336742,8930.0
delta_stability,4334,0.6689008042895442,4334.0
