,7,4,0,3,2,9,8,6,1,12,10,11,5,15,13,14
0,categorical__Contract_Month-to-month,categorical__PhoneService_Yes,categorical__Dependents_No,categorical__OnlineBackup_No,categorical__PaperlessBilling_Yes,categorical__Partner_No,categorical__InternetService_Fiber optic,categorical__gender_Female,categorical__MultipleLines_Yes,categorical__StreamingMovies_Yes,categorical__StreamingTV_Yes,categorical__SeniorCitizen_1,categorical__DeviceProtection_Yes,categorical__PaymentMethod_Bank transfer (automatic),categorical__TechSupport_Yes,categorical__OnlineSecurity_Yes
1,1163,1080,996,949,891,826,792,591,449,403,400,257,206,96,93,75
