metric,best_k,best_f1,avg_classifiers_kept
query_weighted_precision,180,0.9863013698630136,180.0
wracc,512,0.7741935483870968,512.0
lift,512,0.7741935483870968,512.0
balanced_precision_proxy,512,0.7741935483870968,512.0
youdens_j,512,0.7741935483870968,512.0
matthews_correlation,512,0.7741935483870968,512.0
information_gain,512,0.7741935483870968,512.0
gini_gain,512,0.7741935483870968,512.0
log_odds_ratio,512,0.7741935483870968,512.0
chi_squared,512,0.7741935483870968,512.0
g_test,512,0.7741935483870968,512.0
query_weighted_wracc,512,0.7741935483870968,512.0
stability,512,0.7741935483870968,512.0
delta_stability,512,0.7741935483870968,512.0
