metric,best_k,best_f1,avg_classifiers_kept
lift,2814,0.91875,2265.6587926509187
log_odds_ratio,2580,0.9164086687306502,2203.511811023622
query_weighted_precision,2696,0.9125,2238.5590551181103
chi_squared,2696,0.9085173501577287,2238.5590551181103
matthews_correlation,2696,0.9085173501577287,2238.5590551181103
information_gain,2696,0.9085173501577287,2238.5590551181103
g_test,2696,0.9085173501577287,2238.5590551181103
gini_gain,2696,0.9085173501577287,2238.5590551181103
delta_stability,2814,0.9063444108761329,2265.6587926509187
wracc,3059,0.9019607843137255,2285.750656167979
balanced_precision_proxy,3059,0.9019607843137255,2285.750656167979
youdens_j,3059,0.9019607843137255,2285.750656167979
query_weighted_wracc,3059,0.9019607843137255,2285.750656167979
stability,3059,0.9019607843137255,2285.750656167979
