metric,best_k,best_f1,avg_classifiers_kept
query_weighted_precision,31,0.5754716981132075,31.0
wracc,2,0.5568760611205433,2.0
balanced_precision_proxy,2,0.5568760611205433,2.0
youdens_j,2,0.5568760611205433,2.0
query_weighted_wracc,2,0.5536912751677853,2.0
matthews_correlation,4,0.5379939209726444,4.0
information_gain,34,0.5116279069767442,34.0
g_test,34,0.5116279069767442,34.0
gini_gain,34,0.498371335504886,34.0
chi_squared,34,0.498371335504886,34.0
lift,403,0.48424068767908307,390.10085227272725
delta_stability,18,0.43109540636042404,18.0
stability,1,0.26865671641791045,1.0
log_odds_ratio,9,0.23423423423423423,9.0
