,6,8,4,1,0,13,5,3,10,9,12,7,2,11,15,14
0,categorical__PhoneService_Yes,categorical__Contract_Month-to-month,categorical__OnlineSecurity_No,categorical__TechSupport_No,categorical__Dependents_No,categorical__DeviceProtection_No,categorical__OnlineBackup_No,categorical__PaperlessBilling_Yes,categorical__Partner_No,categorical__InternetService_Fiber optic,categorical__PaymentMethod_Electronic check,categorical__gender_Female,categorical__MultipleLines_Yes,categorical__StreamingTV_Yes,categorical__StreamingMovies_Yes,categorical__SeniorCitizen_1
1,1113,1086,1051,1042,1014,906,901,891,805,781,678,576,476,426,425,246
