,metric,pos_value,neg_value,pos_weight,avg_positive,avg_negative,Accuracy,Precision,Recall,AUC-ROC,F1-score,True Positive,True Negative,False Positive,False Negative,True Negative Rate (Specificity),Negative Predictive Value,False Positive Rate,False Discovery Rate
0,Opposers covered,0.0,0.0,0.5,10.473011363636363,285.09517045454544,0.78125,0.6987951807228916,0.31016042780748665,0.7704672162517197,0.42962962962962964,58,492,25,129,0.9516441005802708,0.7922705314009661,0.048355899419729204,0.30120481927710846
1,Opposers covered,0.0,0.0,1.0,10.473011363636363,285.09517045454544,0.78125,0.6571428571428571,0.3689839572192513,0.7719153073573372,0.4726027397260274,69,481,36,118,0.9303675048355899,0.8030050083472454,0.06963249516441006,0.34285714285714286
2,Opposers covered,0.0,0.0,2.0,10.473011363636363,285.09517045454544,0.7727272727272727,0.6062992125984252,0.4117647058823529,0.7719153073573372,0.49044585987261147,77,467,50,110,0.9032882011605415,0.8093587521663779,0.09671179883945841,0.3937007874015748
3,Opposers covered,0.0,0.0,2.5,10.473011363636363,285.09517045454544,0.7755681818181818,0.6,0.46524064171123,0.7718170440323131,0.5240963855421686,87,459,58,100,0.8878143133462283,0.8211091234347049,0.11218568665377177,0.4
4,Opposers covered,0.0,0.0,3.0,10.473011363636363,285.09517045454544,0.7741477272727273,0.5909090909090909,0.48663101604278075,0.7719153073573372,0.533724340175953,91,454,63,96,0.8781431334622823,0.8254545454545454,0.1218568665377176,0.4090909090909091
5,Opposers covered,0.0,0.0,3.5,10.473011363636363,285.09517045454544,0.7713068181818182,0.5802469135802469,0.5026737967914439,0.7718170440323131,0.5386819484240688,94,449,68,93,0.8684719535783365,0.8284132841328413,0.13152804642166344,0.41975308641975306
6,Opposers covered,0.0,0.0,4.0,10.473011363636363,285.09517045454544,0.7713068181818182,0.5783132530120482,0.5133689839572193,0.7719153073573372,0.5439093484419264,96,447,70,91,0.8646034816247582,0.8308550185873605,0.13539651837524178,0.42168674698795183
7,Opposers covered,0.0,0.0,5.0,10.473011363636363,285.09517045454544,0.7713068181818182,0.5714285714285714,0.5561497326203209,0.7719153073573372,0.5636856368563685,104,439,78,83,0.8491295938104448,0.8409961685823755,0.15087040618955513,0.42857142857142855
8,Opposers covered,0.0,90.44444444444444,0.5,10.473011363636363,1356.534090909091,0.7357954545454546,1.0,0.0053475935828877,0.763040577581481,0.010638297872340425,1,517,0,186,1.0,0.7354196301564723,0.0,0.0
9,Opposers covered,0.0,90.44444444444444,1.0,10.473011363636363,1356.534090909091,0.7386363636363636,1.0,0.016042780748663103,0.7652851187951881,0.031578947368421054,3,517,0,184,1.0,0.7375178316690443,0.0,0.0
10,Opposers covered,0.0,90.44444444444444,2.0,10.473011363636363,1356.534090909091,0.7443181818181818,1.0,0.0374331550802139,0.7652851187951881,0.07216494845360824,7,517,0,180,1.0,0.7417503586800573,0.0,0.0
11,Opposers covered,0.0,90.44444444444444,2.5,10.473011363636363,1356.534090909091,0.7443181818181818,0.8888888888888888,0.0427807486631016,0.7652282295017533,0.08163265306122448,8,516,1,179,0.9980657640232108,0.7424460431654676,0.0019342359767891683,0.1111111111111111
12,Opposers covered,0.0,90.44444444444444,3.0,10.473011363636363,1356.534090909091,0.7457386363636364,0.9,0.0481283422459893,0.7652851187951881,0.09137055837563451,9,516,1,178,0.9980657640232108,0.7435158501440923,0.0019342359767891683,0.1
13,Opposers covered,0.0,90.44444444444444,3.5,10.473011363636363,1356.534090909091,0.7485795454545454,0.8125,0.06951871657754011,0.7652747752872909,0.12807881773399016,13,514,3,174,0.9941972920696325,0.747093023255814,0.005802707930367505,0.1875
14,Opposers covered,0.0,90.44444444444444,4.0,10.473011363636363,1356.534090909091,0.7528409090909091,0.8421052631578947,0.0855614973262032,0.7652851187951881,0.1553398058252427,16,514,3,171,0.9941972920696325,0.7503649635036497,0.005802707930367505,0.15789473684210525
15,Opposers covered,0.0,90.44444444444444,5.0,10.473011363636363,1356.534090909091,0.7599431818181818,0.8461538461538461,0.11764705882352941,0.7652851187951881,0.20657276995305165,22,513,4,165,0.9922630560928434,0.7566371681415929,0.007736943907156673,0.15384615384615385
16,Opposers covered,0.0,180.88888888888889,0.5,10.473011363636363,1372.1960227272727,0.7357954545454546,1.0,0.0053475935828877,0.7630612645972755,0.010638297872340425,1,517,0,186,1.0,0.7354196301564723,0.0,0.0
17,Opposers covered,0.0,180.88888888888889,1.0,10.473011363636363,1372.1960227272727,0.7372159090909091,1.0,0.0106951871657754,0.7654195843978526,0.021164021164021163,2,517,0,185,1.0,0.7364672364672364,0.0,0.0
18,Opposers covered,0.0,180.88888888888889,2.0,10.473011363636363,1372.1960227272727,0.7428977272727273,1.0,0.03208556149732621,0.7654195843978526,0.06217616580310881,6,517,0,181,1.0,0.7406876790830945,0.0,0.0
19,Opposers covered,0.0,180.88888888888889,2.5,10.473011363636363,1372.1960227272727,0.7428977272727273,0.875,0.0374331550802139,0.7653885538741609,0.07179487179487179,7,516,1,180,0.9980657640232108,0.7413793103448276,0.0019342359767891683,0.125
20,Opposers covered,0.0,180.88888888888889,3.0,10.473011363636363,1372.1960227272727,0.7457386363636364,0.9,0.0481283422459893,0.7654195843978526,0.09137055837563451,9,516,1,178,0.9980657640232108,0.7435158501440923,0.0019342359767891683,0.1
21,Opposers covered,0.0,180.88888888888889,3.5,10.473011363636363,1372.1960227272727,0.7485795454545454,0.8125,0.06951871657754011,0.7654195843978526,0.12807881773399016,13,514,3,174,0.9941972920696325,0.747093023255814,0.005802707930367505,0.1875
22,Opposers covered,0.0,180.88888888888889,4.0,10.473011363636363,1372.1960227272727,0.7514204545454546,0.8333333333333334,0.08021390374331551,0.7654195843978526,0.14634146341463414,15,514,3,172,0.9941972920696325,0.749271137026239,0.005802707930367505,0.16666666666666666
23,Opposers covered,0.0,180.88888888888889,5.0,10.473011363636363,1372.1960227272727,0.7599431818181818,0.8461538461538461,0.11764705882352941,0.7654195843978526,0.20657276995305165,22,513,4,165,0.9922630560928434,0.7566371681415929,0.007736943907156673,0.15384615384615385
