,metric,pos_value,neg_value,pos_weight,avg_positive,avg_negative,Accuracy,Precision,Recall,AUC-ROC,F1-score,True Positive,True Negative,False Positive,False Negative,True Negative Rate (Specificity),Negative Predictive Value,False Positive Rate,False Discovery Rate
0,Supporters covered,5.0,10.0,0.5,831.8821022727273,1377.762784090909,0.7755681818181818,0.6593406593406593,0.32085561497326204,0.8241345069766961,0.4316546762589928,60,486,31,127,0.9400386847195358,0.7928221859706363,0.059961315280464215,0.34065934065934067
1,Supporters covered,5.0,10.0,1.0,831.8821022727273,1377.762784090909,0.7571022727272727,0.5289855072463768,0.7807486631016043,0.8241448504845933,0.6306695464362851,146,387,130,41,0.7485493230174082,0.9042056074766355,0.2514506769825919,0.47101449275362317
2,Supporters covered,5.0,10.0,2.0,831.8821022727273,1377.762784090909,0.5951704545454546,0.3925438596491228,0.9572192513368984,0.8241448504845933,0.5567651632970451,179,240,277,8,0.46421663442940037,0.967741935483871,0.5357833655705996,0.6074561403508771
3,Supporters covered,5.0,10.0,2.5,831.8821022727273,1377.762784090909,0.5369318181818182,0.36345776031434185,0.9893048128342246,0.8241448504845933,0.5316091954022989,185,193,324,2,0.3733075435203095,0.9897435897435898,0.6266924564796905,0.6365422396856582
4,Supporters covered,5.0,10.0,3.0,831.8821022727273,1377.762784090909,0.4872159090909091,0.3400735294117647,0.9893048128342246,0.8241448504845933,0.506155950752394,185,158,359,2,0.3056092843326886,0.9875,0.6943907156673114,0.6599264705882353
5,Supporters covered,5.0,10.0,3.5,831.8821022727273,1377.762784090909,0.4616477272727273,0.32978723404255317,0.9946524064171123,0.8241448504845933,0.49533954727030627,186,139,378,1,0.2688588007736944,0.9928571428571429,0.7311411992263056,0.6702127659574468
6,Supporters covered,5.0,10.0,4.0,831.8821022727273,1377.762784090909,0.43607954545454547,0.31958762886597936,0.9946524064171123,0.8241448504845933,0.4837451235370611,186,121,396,1,0.23404255319148937,0.9918032786885246,0.7659574468085106,0.6804123711340206
7,Supporters covered,5.0,10.0,5.0,831.8821022727273,1377.762784090909,0.40625,0.3090909090909091,1.0,0.8241448504845933,0.4722222222222222,187,99,418,0,0.19148936170212766,1.0,0.8085106382978723,0.6909090909090909
8,Supporters covered,5.0,375.0,0.5,831.8821022727273,53.86647727272727,0.32954545454545453,0.283763277693475,1.0,0.7339960074059516,0.44208037825059104,187,45,472,0,0.08704061895551257,1.0,0.9129593810444874,0.716236722306525
9,Supporters covered,5.0,375.0,1.0,831.8821022727273,53.86647727272727,0.29545454545454547,0.27379209370424595,1.0,0.7339598051283113,0.4298850574712644,187,21,496,0,0.04061895551257253,1.0,0.9593810444874274,0.726207906295754
10,Supporters covered,5.0,375.0,2.0,831.8821022727273,53.86647727272727,0.28125,0.2698412698412698,1.0,0.7339598051283113,0.425,187,11,506,0,0.02127659574468085,1.0,0.9787234042553191,0.7301587301587301
11,Supporters covered,5.0,375.0,2.5,831.8821022727273,53.86647727272727,0.27698863636363635,0.2686781609195402,1.0,0.7339649768822598,0.42355605889014725,187,8,509,0,0.015473887814313346,1.0,0.9845261121856866,0.7313218390804598
12,Supporters covered,5.0,375.0,3.0,831.8821022727273,53.86647727272727,0.27698863636363635,0.2686781609195402,1.0,0.7339598051283113,0.42355605889014725,187,8,509,0,0.015473887814313346,1.0,0.9845261121856866,0.7313218390804598
13,Supporters covered,5.0,375.0,3.5,831.8821022727273,53.86647727272727,0.2741477272727273,0.2679083094555874,1.0,0.7339649768822599,0.42259887005649716,187,6,511,0,0.01160541586073501,1.0,0.988394584139265,0.7320916905444126
14,Supporters covered,5.0,375.0,4.0,831.8821022727273,53.86647727272727,0.2741477272727273,0.2679083094555874,1.0,0.7339598051283113,0.42259887005649716,187,6,511,0,0.01160541586073501,1.0,0.988394584139265,0.7320916905444126
15,Supporters covered,5.0,375.0,5.0,831.8821022727273,53.86647727272727,0.2741477272727273,0.2679083094555874,1.0,0.7339598051283113,0.42259887005649716,187,6,511,0,0.01160541586073501,1.0,0.988394584139265,0.7320916905444126
16,Supporters covered,5.0,740.0,0.5,831.8821022727273,12.568181818181818,0.2713068181818182,0.2671428571428571,1.0,0.683850681119995,0.42164599774520856,187,4,513,0,0.007736943907156673,1.0,0.9922630560928434,0.7328571428571429
17,Supporters covered,5.0,740.0,1.0,831.8821022727273,12.568181818181818,0.2684659090909091,0.26638176638176636,1.0,0.6838248223502519,0.42069741282339707,187,2,515,0,0.0038684719535783366,1.0,0.9961315280464217,0.7336182336182336
18,Supporters covered,5.0,740.0,2.0,831.8821022727273,12.568181818181818,0.265625,0.265625,1.0,0.6838248223502519,0.41975308641975306,187,0,517,0,0.0,0.0,1.0,0.734375
19,Supporters covered,5.0,740.0,2.5,831.8821022727273,12.568181818181818,0.265625,0.265625,1.0,0.6838248223502519,0.41975308641975306,187,0,517,0,0.0,0.0,1.0,0.734375
