metric,best_k,best_f1,avg_classifiers_kept
query_weighted_wracc,2559,0.64,2559.0
wracc,2067,0.6337078651685393,2067.0
balanced_precision_proxy,2067,0.6337078651685393,2067.0
youdens_j,2067,0.6337078651685393,2067.0
lift,2871,0.614406779661017,2871.0
matthews_correlation,2699,0.6116071428571429,2699.0
query_weighted_precision,93,0.5802816901408451,93.0
delta_stability,3229,0.41975308641975306,3229.0
gini_gain,380,0.4147465437788018,380.0
chi_squared,380,0.4147465437788018,380.0
information_gain,1,0.41325536062378165,1.0
g_test,1,0.41325536062378165,1.0
log_odds_ratio,5,0.3651452282157676,5.0
stability,3,0.24937655860349128,3.0
