metric,best_k,best_f1,avg_classifiers_kept
query_weighted_precision,4,0.8122866894197952,4.0
query_similarity,4,0.8082191780821918,4.0
precision,354,0.6220302375809935,354.0
delta_stability,447,0.3719806763285024,447.0
log_odds_ratio_log_tp,794,0.3236994219653179,747.5163043478261
log_odds_ratio,730,0.3236994219653179,712.1929347826087
precision_log_tp,794,0.30409356725146197,747.5163043478261
precision_sqrt_tp,794,0.30409356725146197,747.5163043478261
query_weighted_precision_log_tp,1005,0.29411764705882354,826.4211956521739
query_weighted_precision_sqrt_tp,1005,0.29411764705882354,826.4211956521739
stability,1786,0.2823529411764706,984.1657608695652
