metric,best_k,best_f1,avg_classifiers_kept
query_weighted_precision,431,0.896358543417367,431.0
query_weighted_wracc,109,0.8840970350404312,109.0
wracc,2963,0.7321428571428571,2963.0
lift,2963,0.7321428571428571,2963.0
balanced_precision_proxy,2963,0.7321428571428571,2963.0
youdens_j,2963,0.7321428571428571,2963.0
matthews_correlation,2963,0.7321428571428571,2963.0
information_gain,2963,0.7321428571428571,2963.0
gini_gain,2963,0.7321428571428571,2963.0
log_odds_ratio,2963,0.7321428571428571,2963.0
chi_squared,2963,0.7321428571428571,2963.0
g_test,2963,0.7321428571428571,2963.0
stability,82,0.6680161943319838,82.0
delta_stability,2963,0.6653225806451613,2963.0
