,4,5,1,8,9,6,2,7,0,3,10,14,13,11,15,12
0,categorical__PhoneService_Yes,categorical__SeniorCitizen_0,categorical__OnlineSecurity_No,categorical__TechSupport_No,categorical__DeviceProtection_No,categorical__StreamingTV_No,categorical__OnlineBackup_No,categorical__StreamingMovies_No,categorical__MultipleLines_No,categorical__Partner_Yes,categorical__gender_Female,categorical__PaperlessBilling_No,categorical__Dependents_Yes,categorical__InternetService_No,categorical__Contract_Two year,categorical__PaymentMethod_Bank transfer (automatic)
1,3284,3057,2413,2385,2300,2235,2233,2207,1814,1677,1656,1537,1049,942,927,701
