query_idx,y_true,positive_before,negative_before,total_before,positive_after,negative_after,total_after,lost_positive,lost_negative,lost_all
42,0,1304,1744,3048,1114,1422,2536,False,False,False
43,1,1304,1744,3048,965,1621,2586,False,False,False
44,1,1304,1744,3048,1026,1642,2668,False,False,False
45,1,1304,1744,3048,1075,1681,2756,False,False,False
46,0,1304,1744,3048,1189,1505,2694,False,False,False
47,1,1304,1744,3048,958,1607,2565,False,False,False
48,1,1304,1744,3048,1052,1630,2682,False,False,False
49,1,1304,1744,3048,1025,1465,2490,False,False,False
50,0,1304,1744,3048,1180,1464,2644,False,False,False
51,0,1304,1744,3048,1139,1374,2513,False,False,False
52,0,1304,1744,3048,1199,1485,2684,False,False,False
53,0,1304,1744,3048,1131,1297,2428,False,False,False
54,1,1304,1744,3048,1005,1597,2602,False,False,False
55,1,1304,1744,3048,1010,1529,2539,False,False,False
56,0,1304,1744,3048,1182,1367,2549,False,False,False
57,0,1304,1744,3048,1106,1403,2509,False,False,False
58,0,1304,1744,3048,1140,1368,2508,False,False,False
59,0,1304,1744,3048,1143,1364,2507,False,False,False
60,0,1304,1744,3048,1122,1269,2391,False,False,False
61,0,1304,1744,3048,1169,1278,2447,False,False,False
62,0,1304,1744,3048,1173,1454,2627,False,False,False
63,0,1304,1744,3048,1080,1451,2531,False,False,False
64,0,1304,1744,3048,1076,1502,2578,False,False,False
65,0,1304,1744,3048,1101,1370,2471,False,False,False
66,1,1304,1744,3048,1009,1594,2603,False,False,False
67,0,1304,1744,3048,1111,1376,2487,False,False,False
68,1,1304,1744,3048,1028,1521,2549,False,False,False
69,1,1304,1744,3048,1115,1684,2799,False,False,False
70,1,1304,1744,3048,1168,1439,2607,False,False,False
71,0,1304,1744,3048,1206,1522,2728,False,False,False
72,1,1304,1744,3048,1030,1647,2677,False,False,False
73,0,1304,1744,3048,1130,1359,2489,False,False,False
74,1,1304,1744,3048,1025,1584,2609,False,False,False
75,0,1304,1744,3048,1190,1470,2660,False,False,False
76,1,1304,1744,3048,935,1551,2486,False,False,False
77,0,1304,1744,3048,1155,1350,2505,False,False,False
78,0,1304,1744,3048,1156,1440,2596,False,False,False
79,0,1304,1744,3048,1197,1424,2621,False,False,False
80,0,1304,1744,3048,1140,1411,2551,False,False,False
81,0,1304,1744,3048,1196,1427,2623,False,False,False
82,0,1304,1744,3048,1163,1444,2607,False,False,False
83,0,1304,1744,3048,1184,1477,2661,False,False,False
84,1,1304,1744,3048,900,1532,2432,False,False,False
85,0,1304,1744,3048,1202,1450,2652,False,False,False
86,0,1304,1744,3048,1196,1481,2677,False,False,False
87,1,1304,1744,3048,984,1586,2570,False,False,False
88,1,1304,1744,3048,1063,1613,2676,False,False,False
89,0,1304,1744,3048,1188,1381,2569,False,False,False
90,0,1304,1744,3048,1114,1362,2476,False,False,False
91,1,1304,1744,3048,1113,1429,2542,False,False,False
92,0,1304,1744,3048,1197,1276,2473,False,False,False
93,1,1304,1744,3048,1045,1590,2635,False,False,False
94,0,1304,1744,3048,1161,1347,2508,False,False,False
95,1,1304,1744,3048,1049,1633,2682,False,False,False
96,0,1304,1744,3048,1183,1419,2602,False,False,False
97,1,1304,1744,3048,985,1574,2559,False,False,False
98,1,1304,1744,3048,953,1626,2579,False,False,False
99,0,1304,1744,3048,1183,1454,2637,False,False,False
100,1,1304,1744,3048,1053,1536,2589,False,False,False
101,0,1304,1744,3048,1139,1280,2419,False,False,False
102,0,1304,1744,3048,1199,1399,2598,False,False,False
103,1,1304,1744,3048,1038,1666,2704,False,False,False
104,1,1304,1744,3048,1130,1477,2607,False,False,False
105,1,1304,1744,3048,1023,1648,2671,False,False,False
106,1,1304,1744,3048,1022,1642,2664,False,False,False
107,0,1304,1744,3048,1199,1473,2672,False,False,False
108,1,1304,1744,3048,1141,1426,2567,False,False,False
109,1,1304,1744,3048,1001,1635,2636,False,False,False
110,1,1304,1744,3048,936,1602,2538,False,False,False
111,0,1304,1744,3048,1082,1507,2589,False,False,False
112,0,1304,1744,3048,1207,1365,2572,False,False,False
113,1,1304,1744,3048,1131,1627,2758,False,False,False
114,0,1304,1744,3048,1071,1507,2578,False,False,False
115,0,1304,1744,3048,1132,1485,2617,False,False,False
116,0,1304,1744,3048,1181,1521,2702,False,False,False
117,1,1304,1744,3048,1082,1590,2672,False,False,False
118,1,1304,1744,3048,978,1551,2529,False,False,False
119,1,1304,1744,3048,1059,1607,2666,False,False,False
120,1,1304,1744,3048,1045,1640,2685,False,False,False
121,0,1304,1744,3048,1176,1548,2724,False,False,False
122,0,1304,1744,3048,1167,1373,2540,False,False,False
123,0,1304,1744,3048,1160,1427,2587,False,False,False
124,1,1304,1744,3048,968,1592,2560,False,False,False
125,0,1304,1744,3048,1206,1568,2774,False,False,False
126,0,1304,1744,3048,1129,1456,2585,False,False,False
127,1,1304,1744,3048,986,1597,2583,False,False,False
128,0,1304,1744,3048,1188,1327,2515,False,False,False
129,0,1304,1744,3048,1225,1473,2698,False,False,False
130,1,1304,1744,3048,1153,1679,2832,False,False,False
131,0,1304,1744,3048,1190,1446,2636,False,False,False
132,0,1304,1744,3048,1087,1477,2564,False,False,False
133,0,1304,1744,3048,1144,1452,2596,False,False,False
134,0,1304,1744,3048,1191,1294,2485,False,False,False
135,1,1304,1744,3048,1157,1685,2842,False,False,False
136,1,1304,1744,3048,1037,1614,2651,False,False,False
137,0,1304,1744,3048,1150,1492,2642,False,False,False
138,0,1304,1744,3048,1143,1284,2427,False,False,False
139,1,1304,1744,3048,1151,1669,2820,False,False,False
140,1,1304,1744,3048,1000,1633,2633,False,False,False
141,1,1304,1744,3048,1150,1404,2554,False,False,False
142,1,1304,1744,3048,1094,1413,2507,False,False,False
143,0,1304,1744,3048,1160,1315,2475,False,False,False
144,0,1304,1744,3048,1129,1281,2410,False,False,False
145,0,1304,1744,3048,1161,1341,2502,False,False,False
146,0,1304,1744,3048,1150,1349,2499,False,False,False
147,1,1304,1744,3048,978,1583,2561,False,False,False
148,0,1304,1744,3048,1087,1541,2628,False,False,False
149,0,1304,1744,3048,1125,1327,2452,False,False,False
150,1,1304,1744,3048,965,1447,2412,False,False,False
151,0,1304,1744,3048,1158,1489,2647,False,False,False
152,0,1304,1744,3048,1178,1351,2529,False,False,False
153,0,1304,1744,3048,1170,1413,2583,False,False,False
154,1,1304,1744,3048,1147,1374,2521,False,False,False
155,1,1304,1744,3048,1120,1499,2619,False,False,False
156,0,1304,1744,3048,1055,1544,2599,False,False,False
157,0,1304,1744,3048,1114,1495,2609,False,False,False
158,0,1304,1744,3048,1129,1471,2600,False,False,False
159,0,1304,1744,3048,1141,1407,2548,False,False,False
160,0,1304,1744,3048,1085,1578,2663,False,False,False
161,0,1304,1744,3048,1162,1318,2480,False,False,False
162,0,1304,1744,3048,1171,1320,2491,False,False,False
163,1,1304,1744,3048,1114,1332,2446,False,False,False
164,1,1304,1744,3048,1066,1613,2679,False,False,False
165,0,1304,1744,3048,1170,1416,2586,False,False,False
166,1,1304,1744,3048,1130,1475,2605,False,False,False
167,1,1304,1744,3048,937,1587,2524,False,False,False
168,0,1304,1744,3048,1181,1435,2616,False,False,False
169,1,1304,1744,3048,1096,1516,2612,False,False,False
170,0,1304,1744,3048,1178,1468,2646,False,False,False
171,1,1304,1744,3048,998,1577,2575,False,False,False
172,0,1304,1744,3048,1179,1452,2631,False,False,False
173,0,1304,1744,3048,1139,1397,2536,False,False,False
174,0,1304,1744,3048,1088,1437,2525,False,False,False
175,1,1304,1744,3048,1043,1592,2635,False,False,False
176,0,1304,1744,3048,1182,1364,2546,False,False,False
177,0,1304,1744,3048,1123,1489,2612,False,False,False
178,1,1304,1744,3048,1101,1683,2784,False,False,False
179,1,1304,1744,3048,1031,1470,2501,False,False,False
180,1,1304,1744,3048,1021,1541,2562,False,False,False
181,1,1304,1744,3048,929,1571,2500,False,False,False
182,1,1304,1744,3048,1036,1588,2624,False,False,False
183,0,1304,1744,3048,1195,1468,2663,False,False,False
184,0,1304,1744,3048,1146,1348,2494,False,False,False
185,1,1304,1744,3048,993,1611,2604,False,False,False
186,0,1304,1744,3048,1105,1416,2521,False,False,False
187,0,1304,1744,3048,1101,1401,2502,False,False,False
188,0,1304,1744,3048,1189,1456,2645,False,False,False
189,0,1304,1744,3048,1184,1545,2729,False,False,False
190,0,1304,1744,3048,1127,1371,2498,False,False,False
191,1,1304,1744,3048,974,1567,2541,False,False,False
192,1,1304,1744,3048,1080,1491,2571,False,False,False
193,0,1304,1744,3048,1148,1451,2599,False,False,False
194,0,1304,1744,3048,1155,1358,2513,False,False,False
195,0,1304,1744,3048,1130,1429,2559,False,False,False
196,0,1304,1744,3048,1160,1294,2454,False,False,False
197,0,1304,1744,3048,1186,1319,2505,False,False,False
198,0,1304,1744,3048,1221,1496,2717,False,False,False
199,0,1304,1744,3048,1173,1357,2530,False,False,False
200,1,1304,1744,3048,943,1635,2578,False,False,False
201,0,1304,1744,3048,1162,1506,2668,False,False,False
202,1,1304,1744,3048,1025,1664,2689,False,False,False
203,0,1304,1744,3048,1184,1429,2613,False,False,False
204,0,1304,1744,3048,1150,1365,2515,False,False,False
205,1,1304,1744,3048,997,1588,2585,False,False,False
206,0,1304,1744,3048,1194,1326,2520,False,False,False
207,1,1304,1744,3048,1062,1624,2686,False,False,False
208,1,1304,1744,3048,1146,1466,2612,False,False,False
209,1,1304,1744,3048,1104,1430,2534,False,False,False
210,0,1304,1744,3048,1136,1280,2416,False,False,False
211,0,1304,1744,3048,1180,1442,2622,False,False,False
212,1,1304,1744,3048,1109,1425,2534,False,False,False
213,1,1304,1744,3048,1047,1499,2546,False,False,False
214,0,1304,1744,3048,1214,1392,2606,False,False,False
215,0,1304,1744,3048,1157,1280,2437,False,False,False
216,1,1304,1744,3048,1145,1637,2782,False,False,False
217,0,1304,1744,3048,1061,1416,2477,False,False,False
218,1,1304,1744,3048,1062,1606,2668,False,False,False
219,1,1304,1744,3048,991,1645,2636,False,False,False
220,0,1304,1744,3048,1195,1459,2654,False,False,False
221,0,1304,1744,3048,1198,1482,2680,False,False,False
222,0,1304,1744,3048,1175,1359,2534,False,False,False
223,1,1304,1744,3048,1003,1569,2572,False,False,False
224,0,1304,1744,3048,1147,1295,2442,False,False,False
225,0,1304,1744,3048,1136,1359,2495,False,False,False
226,1,1304,1744,3048,971,1586,2557,False,False,False
227,0,1304,1744,3048,1112,1548,2660,False,False,False
228,1,1304,1744,3048,957,1561,2518,False,False,False
229,0,1304,1744,3048,1192,1502,2694,False,False,False
230,1,1304,1744,3048,953,1600,2553,False,False,False
231,0,1304,1744,3048,1210,1462,2672,False,False,False
232,1,1304,1744,3048,1155,1654,2809,False,False,False
233,0,1304,1744,3048,1184,1641,2825,False,False,False
234,0,1304,1744,3048,1212,1509,2721,False,False,False
235,1,1304,1744,3048,1082,1663,2745,False,False,False
236,0,1304,1744,3048,1178,1454,2632,False,False,False
237,0,1304,1744,3048,1118,1400,2518,False,False,False
238,1,1304,1744,3048,1021,1617,2638,False,False,False
239,0,1304,1744,3048,1185,1314,2499,False,False,False
240,1,1304,1744,3048,1020,1657,2677,False,False,False
241,0,1304,1744,3048,1140,1356,2496,False,False,False
242,1,1304,1744,3048,1025,1601,2626,False,False,False
243,1,1304,1744,3048,1035,1645,2680,False,False,False
244,1,1304,1744,3048,1108,1498,2606,False,False,False
245,1,1304,1744,3048,925,1592,2517,False,False,False
246,1,1304,1744,3048,1101,1684,2785,False,False,False
247,1,1304,1744,3048,990,1646,2636,False,False,False
248,1,1304,1744,3048,1078,1670,2748,False,False,False
249,0,1304,1744,3048,1149,1415,2564,False,False,False
250,1,1304,1744,3048,1124,1450,2574,False,False,False
251,0,1304,1744,3048,1186,1518,2704,False,False,False
252,0,1304,1744,3048,1145,1430,2575,False,False,False
253,0,1304,1744,3048,1155,1431,2586,False,False,False
254,0,1304,1744,3048,1179,1374,2553,False,False,False
255,0,1304,1744,3048,1140,1364,2504,False,False,False
256,0,1304,1744,3048,1155,1286,2441,False,False,False
257,0,1304,1744,3048,1165,1339,2504,False,False,False
258,1,1304,1744,3048,923,1560,2483,False,False,False
259,0,1304,1744,3048,1083,1509,2592,False,False,False
260,1,1304,1744,3048,1041,1601,2642,False,False,False
261,0,1304,1744,3048,1178,1465,2643,False,False,False
262,1,1304,1744,3048,1049,1620,2669,False,False,False
263,1,1304,1744,3048,1052,1564,2616,False,False,False
264,0,1304,1744,3048,1128,1412,2540,False,False,False
265,1,1304,1744,3048,899,1552,2451,False,False,False
266,0,1304,1744,3048,1104,1412,2516,False,False,False
267,1,1304,1744,3048,951,1564,2515,False,False,False
268,0,1304,1744,3048,1141,1356,2497,False,False,False
269,0,1304,1744,3048,1188,1412,2600,False,False,False
270,0,1304,1744,3048,1219,1487,2706,False,False,False
271,1,1304,1744,3048,913,1544,2457,False,False,False
272,0,1304,1744,3048,1131,1332,2463,False,False,False
273,1,1304,1744,3048,1080,1453,2533,False,False,False
274,0,1304,1744,3048,1051,1542,2593,False,False,False
275,0,1304,1744,3048,1217,1597,2814,False,False,False
276,0,1304,1744,3048,1078,1642,2720,False,False,False
277,0,1304,1744,3048,1121,1422,2543,False,False,False
278,1,1304,1744,3048,1168,1595,2763,False,False,False
279,0,1304,1744,3048,1020,1539,2559,False,False,False
280,0,1304,1744,3048,1165,1400,2565,False,False,False
281,1,1304,1744,3048,1176,1360,2536,False,False,False
282,0,1304,1744,3048,1045,1604,2649,False,False,False
283,0,1304,1744,3048,1185,1467,2652,False,False,False
284,0,1304,1744,3048,1139,1454,2593,False,False,False
285,1,1304,1744,3048,921,1576,2497,False,False,False
286,1,1304,1744,3048,1089,1468,2557,False,False,False
287,1,1304,1744,3048,1060,1618,2678,False,False,False
288,0,1304,1744,3048,1161,1327,2488,False,False,False
289,1,1304,1744,3048,941,1589,2530,False,False,False
290,0,1304,1744,3048,1147,1316,2463,False,False,False
291,0,1304,1744,3048,1181,1357,2538,False,False,False
292,0,1304,1744,3048,1125,1459,2584,False,False,False
293,1,1304,1744,3048,1017,1556,2573,False,False,False
294,0,1304,1744,3048,1171,1386,2557,False,False,False
295,1,1304,1744,3048,1095,1404,2499,False,False,False
296,1,1304,1744,3048,1113,1500,2613,False,False,False
297,1,1304,1744,3048,974,1583,2557,False,False,False
298,0,1304,1744,3048,1156,1357,2513,False,False,False
299,1,1304,1744,3048,1083,1568,2651,False,False,False
300,0,1304,1744,3048,1087,1465,2552,False,False,False
301,1,1304,1744,3048,1040,1658,2698,False,False,False
302,1,1304,1744,3048,1006,1509,2515,False,False,False
303,1,1304,1744,3048,1001,1547,2548,False,False,False
304,1,1304,1744,3048,1041,1629,2670,False,False,False
305,1,1304,1744,3048,1055,1472,2527,False,False,False
306,1,1304,1744,3048,1062,1595,2657,False,False,False
307,1,1304,1744,3048,981,1583,2564,False,False,False
308,0,1304,1744,3048,1209,1539,2748,False,False,False
309,0,1304,1744,3048,1112,1516,2628,False,False,False
310,0,1304,1744,3048,1191,1411,2602,False,False,False
311,1,1304,1744,3048,1123,1366,2489,False,False,False
312,1,1304,1744,3048,997,1518,2515,False,False,False
313,0,1304,1744,3048,1152,1415,2567,False,False,False
314,0,1304,1744,3048,1163,1340,2503,False,False,False
315,0,1304,1744,3048,1183,1417,2600,False,False,False
316,1,1304,1744,3048,1098,1649,2747,False,False,False
317,1,1304,1744,3048,1010,1612,2622,False,False,False
318,1,1304,1744,3048,901,1573,2474,False,False,False
319,0,1304,1744,3048,1159,1282,2441,False,False,False
320,1,1304,1744,3048,1013,1538,2551,False,False,False
321,0,1304,1744,3048,1120,1358,2478,False,False,False
322,0,1304,1744,3048,1159,1401,2560,False,False,False
323,1,1304,1744,3048,1003,1598,2601,False,False,False
324,1,1304,1744,3048,960,1600,2560,False,False,False
325,0,1304,1744,3048,1166,1398,2564,False,False,False
326,1,1304,1744,3048,926,1592,2518,False,False,False
327,1,1304,1744,3048,1047,1619,2666,False,False,False
328,1,1304,1744,3048,1082,1651,2733,False,False,False
329,0,1304,1744,3048,1169,1446,2615,False,False,False
330,0,1304,1744,3048,1192,1482,2674,False,False,False
331,1,1304,1744,3048,958,1581,2539,False,False,False
332,1,1304,1744,3048,1085,1620,2705,False,False,False
333,1,1304,1744,3048,1084,1675,2759,False,False,False
334,1,1304,1744,3048,939,1597,2536,False,False,False
335,0,1304,1744,3048,1181,1415,2596,False,False,False
336,0,1304,1744,3048,1221,1561,2782,False,False,False
337,0,1304,1744,3048,1127,1363,2490,False,False,False
338,1,1304,1744,3048,969,1550,2519,False,False,False
339,0,1304,1744,3048,1188,1405,2593,False,False,False
340,1,1304,1744,3048,1094,1431,2525,False,False,False
341,1,1304,1744,3048,1092,1592,2684,False,False,False
342,1,1304,1744,3048,1079,1538,2617,False,False,False
343,0,1304,1744,3048,1094,1615,2709,False,False,False
344,0,1304,1744,3048,1151,1243,2394,False,False,False
345,0,1304,1744,3048,1188,1503,2691,False,False,False
346,0,1304,1744,3048,1213,1514,2727,False,False,False
347,1,1304,1744,3048,1001,1630,2631,False,False,False
348,0,1304,1744,3048,1012,1549,2561,False,False,False
349,0,1304,1744,3048,1176,1344,2520,False,False,False
350,1,1304,1744,3048,980,1547,2527,False,False,False
351,1,1304,1744,3048,974,1556,2530,False,False,False
352,0,1304,1744,3048,1201,1538,2739,False,False,False
353,0,1304,1744,3048,982,1585,2567,False,False,False
354,1,1304,1744,3048,1077,1666,2743,False,False,False
355,0,1304,1744,3048,1166,1328,2494,False,False,False
356,1,1304,1744,3048,1104,1434,2538,False,False,False
357,0,1304,1744,3048,1158,1507,2665,False,False,False
358,0,1304,1744,3048,1173,1514,2687,False,False,False
359,0,1304,1744,3048,1184,1452,2636,False,False,False
360,1,1304,1744,3048,1069,1579,2648,False,False,False
361,1,1304,1744,3048,1151,1623,2774,False,False,False
362,0,1304,1744,3048,1183,1414,2597,False,False,False
363,1,1304,1744,3048,1088,1641,2729,False,False,False
364,0,1304,1744,3048,1160,1384,2544,False,False,False
365,0,1304,1744,3048,1178,1283,2461,False,False,False
366,0,1304,1744,3048,1125,1393,2518,False,False,False
367,1,1304,1744,3048,1046,1385,2431,False,False,False
368,0,1304,1744,3048,1169,1290,2459,False,False,False
369,0,1304,1744,3048,1196,1499,2695,False,False,False
370,0,1304,1744,3048,1134,1381,2515,False,False,False
371,1,1304,1744,3048,990,1567,2557,False,False,False
372,0,1304,1744,3048,1193,1586,2779,False,False,False
373,1,1304,1744,3048,1007,1594,2601,False,False,False
374,1,1304,1744,3048,1059,1644,2703,False,False,False
375,1,1304,1744,3048,1133,1618,2751,False,False,False
376,0,1304,1744,3048,1168,1319,2487,False,False,False
377,1,1304,1744,3048,969,1563,2532,False,False,False
378,1,1304,1744,3048,1223,1648,2871,False,False,False
379,0,1304,1744,3048,1181,1373,2554,False,False,False
380,1,1304,1744,3048,968,1591,2559,False,False,False
381,0,1304,1744,3048,1187,1470,2657,False,False,False
382,1,1304,1744,3048,998,1610,2608,False,False,False
383,0,1304,1744,3048,1121,1478,2599,False,False,False
384,1,1304,1744,3048,1112,1418,2530,False,False,False
385,0,1304,1744,3048,1146,1396,2542,False,False,False
386,0,1304,1744,3048,1206,1476,2682,False,False,False
387,1,1304,1744,3048,1014,1639,2653,False,False,False
388,0,1304,1744,3048,1205,1460,2665,False,False,False
389,0,1304,1744,3048,1136,1369,2505,False,False,False
390,0,1304,1744,3048,1188,1384,2572,False,False,False
391,1,1304,1744,3048,982,1572,2554,False,False,False
392,0,1304,1744,3048,1105,1514,2619,False,False,False
393,0,1304,1744,3048,1207,1588,2795,False,False,False
394,0,1304,1744,3048,1139,1450,2589,False,False,False
395,0,1304,1744,3048,1104,1423,2527,False,False,False
396,0,1304,1744,3048,1225,1573,2798,False,False,False
397,1,1304,1744,3048,986,1569,2555,False,False,False
398,1,1304,1744,3048,1073,1530,2603,False,False,False
399,1,1304,1744,3048,1048,1589,2637,False,False,False
400,1,1304,1744,3048,1090,1656,2746,False,False,False
401,0,1304,1744,3048,1188,1416,2604,False,False,False
402,1,1304,1744,3048,1082,1565,2647,False,False,False
403,0,1304,1744,3048,1139,1229,2368,False,False,False
404,0,1304,1744,3048,1173,1322,2495,False,False,False
405,0,1304,1744,3048,1212,1529,2741,False,False,False
406,0,1304,1744,3048,1047,1475,2522,False,False,False
407,1,1304,1744,3048,1064,1605,2669,False,False,False
408,0,1304,1744,3048,1158,1320,2478,False,False,False
409,1,1304,1744,3048,1146,1322,2468,False,False,False
410,1,1304,1744,3048,1142,1416,2558,False,False,False
411,0,1304,1744,3048,1201,1556,2757,False,False,False
412,1,1304,1744,3048,1077,1645,2722,False,False,False
413,0,1304,1744,3048,1099,1507,2606,False,False,False
414,1,1304,1744,3048,1033,1612,2645,False,False,False
415,0,1304,1744,3048,1095,1558,2653,False,False,False
416,1,1304,1744,3048,986,1593,2579,False,False,False
417,0,1304,1744,3048,1193,1449,2642,False,False,False
418,0,1304,1744,3048,1201,1387,2588,False,False,False
419,1,1304,1744,3048,975,1566,2541,False,False,False
420,0,1304,1744,3048,1202,1430,2632,False,False,False
421,1,1304,1744,3048,970,1498,2468,False,False,False
422,0,1304,1744,3048,1179,1484,2663,False,False,False
423,1,1304,1744,3048,1023,1520,2543,False,False,False
424,1,1304,1744,3048,1073,1582,2655,False,False,False
425,0,1304,1744,3048,1132,1356,2488,False,False,False
426,1,1304,1744,3048,1152,1525,2677,False,False,False
427,0,1304,1744,3048,1096,1389,2485,False,False,False
428,0,1304,1744,3048,1174,1404,2578,False,False,False
429,1,1304,1744,3048,1160,1619,2779,False,False,False
430,1,1304,1744,3048,1148,1503,2651,False,False,False
431,0,1304,1744,3048,1150,1398,2548,False,False,False
432,1,1304,1744,3048,1123,1511,2634,False,False,False
433,1,1304,1744,3048,1126,1658,2784,False,False,False
434,0,1304,1744,3048,1189,1510,2699,False,False,False
435,0,1304,1744,3048,1174,1416,2590,False,False,False
436,0,1304,1744,3048,1219,1603,2822,False,False,False
437,0,1304,1744,3048,1099,1429,2528,False,False,False
438,1,1304,1744,3048,1018,1525,2543,False,False,False
439,0,1304,1744,3048,1145,1393,2538,False,False,False
440,0,1304,1744,3048,1150,1428,2578,False,False,False
441,1,1304,1744,3048,1040,1497,2537,False,False,False
442,0,1304,1744,3048,1089,1573,2662,False,False,False
443,0,1304,1744,3048,1141,1400,2541,False,False,False
444,0,1304,1744,3048,1095,1420,2515,False,False,False
445,0,1304,1744,3048,1128,1406,2534,False,False,False
446,0,1304,1744,3048,1135,1328,2463,False,False,False
447,1,1304,1744,3048,983,1585,2568,False,False,False
448,0,1304,1744,3048,1232,1590,2822,False,False,False
449,0,1304,1744,3048,1177,1393,2570,False,False,False
450,0,1304,1744,3048,1206,1526,2732,False,False,False
451,1,1304,1744,3048,1046,1576,2622,False,False,False
452,1,1304,1744,3048,1021,1628,2649,False,False,False
453,1,1304,1744,3048,1070,1497,2567,False,False,False
454,0,1304,1744,3048,1174,1423,2597,False,False,False
455,0,1304,1744,3048,1209,1319,2528,False,False,False
456,0,1304,1744,3048,1177,1300,2477,False,False,False
457,0,1304,1744,3048,1074,1538,2612,False,False,False
458,1,1304,1744,3048,1074,1624,2698,False,False,False
459,0,1304,1744,3048,1180,1341,2521,False,False,False
460,1,1304,1744,3048,1131,1616,2747,False,False,False
461,1,1304,1744,3048,984,1618,2602,False,False,False
462,1,1304,1744,3048,1054,1672,2726,False,False,False
463,0,1304,1744,3048,1105,1390,2495,False,False,False
464,0,1304,1744,3048,1181,1342,2523,False,False,False
465,1,1304,1744,3048,1133,1621,2754,False,False,False
466,0,1304,1744,3048,1219,1540,2759,False,False,False
467,0,1304,1744,3048,1177,1463,2640,False,False,False
468,0,1304,1744,3048,1194,1527,2721,False,False,False
469,1,1304,1744,3048,982,1565,2547,False,False,False
470,1,1304,1744,3048,967,1550,2517,False,False,False
471,0,1304,1744,3048,1202,1618,2820,False,False,False
472,0,1304,1744,3048,1182,1403,2585,False,False,False
473,0,1304,1744,3048,1200,1495,2695,False,False,False
474,0,1304,1744,3048,1161,1343,2504,False,False,False
475,1,1304,1744,3048,1006,1595,2601,False,False,False
476,1,1304,1744,3048,962,1564,2526,False,False,False
477,0,1304,1744,3048,1115,1377,2492,False,False,False
478,1,1304,1744,3048,1028,1585,2613,False,False,False
479,0,1304,1744,3048,1167,1280,2447,False,False,False
480,0,1304,1744,3048,969,1571,2540,False,False,False
481,0,1304,1744,3048,1176,1419,2595,False,False,False
482,1,1304,1744,3048,960,1561,2521,False,False,False
483,0,1304,1744,3048,1159,1434,2593,False,False,False
484,0,1304,1744,3048,1204,1516,2720,False,False,False
485,0,1304,1744,3048,1209,1476,2685,False,False,False
486,1,1304,1744,3048,1049,1653,2702,False,False,False
487,1,1304,1744,3048,977,1587,2564,False,False,False
488,0,1304,1744,3048,1118,1422,2540,False,False,False
489,0,1304,1744,3048,1116,1499,2615,False,False,False
490,0,1304,1744,3048,1166,1427,2593,False,False,False
491,0,1304,1744,3048,1110,1446,2556,False,False,False
492,1,1304,1744,3048,1049,1654,2703,False,False,False
493,0,1304,1744,3048,1182,1413,2595,False,False,False
494,0,1304,1744,3048,1129,1240,2369,False,False,False
495,0,1304,1744,3048,1166,1321,2487,False,False,False
496,1,1304,1744,3048,985,1622,2607,False,False,False
497,1,1304,1744,3048,1020,1648,2668,False,False,False
