query_idx,y_true,positive_before,negative_before,total_before,positive_after,negative_after,total_after,lost_positive,lost_negative,lost_all
0,0,1304,1744,3048,1188,1512,2700,False,False,False
1,1,1304,1744,3048,1069,1529,2598,False,False,False
2,0,1304,1744,3048,1131,1407,2538,False,False,False
3,0,1304,1744,3048,1136,1419,2555,False,False,False
4,0,1304,1744,3048,1146,1409,2555,False,False,False
5,0,1304,1744,3048,1185,1416,2601,False,False,False
6,0,1304,1744,3048,1164,1345,2509,False,False,False
7,0,1304,1744,3048,1168,1352,2520,False,False,False
8,1,1304,1744,3048,980,1628,2608,False,False,False
9,1,1304,1744,3048,1017,1612,2629,False,False,False
10,1,1304,1744,3048,1024,1524,2548,False,False,False
11,1,1304,1744,3048,1071,1636,2707,False,False,False
12,0,1304,1744,3048,1036,1475,2511,False,False,False
13,0,1304,1744,3048,1203,1416,2619,False,False,False
14,1,1304,1744,3048,969,1557,2526,False,False,False
15,1,1304,1744,3048,1062,1560,2622,False,False,False
16,0,1304,1744,3048,1096,1405,2501,False,False,False
17,0,1304,1744,3048,1206,1592,2798,False,False,False
18,1,1304,1744,3048,1043,1665,2708,False,False,False
19,1,1304,1744,3048,1082,1249,2331,False,False,False
20,1,1304,1744,3048,1118,1447,2565,False,False,False
21,0,1304,1744,3048,963,1554,2517,False,False,False
22,0,1304,1744,3048,1107,1498,2605,False,False,False
23,1,1304,1744,3048,1165,1657,2822,False,False,False
24,0,1304,1744,3048,1175,1315,2490,False,False,False
25,1,1304,1744,3048,1032,1613,2645,False,False,False
26,1,1304,1744,3048,1023,1641,2664,False,False,False
27,0,1304,1744,3048,1069,1505,2574,False,False,False
28,1,1304,1744,3048,1022,1436,2458,False,False,False
29,0,1304,1744,3048,1156,1367,2523,False,False,False
30,0,1304,1744,3048,1197,1442,2639,False,False,False
31,0,1304,1744,3048,1163,1382,2545,False,False,False
32,0,1304,1744,3048,1099,1449,2548,False,False,False
33,1,1304,1744,3048,959,1608,2567,False,False,False
34,0,1304,1744,3048,1148,1259,2407,False,False,False
35,0,1304,1744,3048,1180,1457,2637,False,False,False
36,1,1304,1744,3048,960,1607,2567,False,False,False
37,0,1304,1744,3048,1180,1360,2540,False,False,False
38,1,1304,1744,3048,1089,1644,2733,False,False,False
39,1,1304,1744,3048,1122,1633,2755,False,False,False
40,0,1304,1744,3048,1174,1471,2645,False,False,False
41,1,1304,1744,3048,1137,1477,2614,False,False,False
